"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"5";"";"10-XX";"B3F-10XX";"S1, S2, S3, S4, S5";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";
"4";"";"2,54/1,1";"2,54/1,1";"PAD1, PAD2, PAD3, PAD4";"THROUGH-HOLE PAD";"";"";"";"";
"1";"";"CRYSTALHC49S";"HC49/S";"Q2";"CRYSTAL";"";"";"1667008";"unknown";
"5";"";"LEDCHIPLED_1206";"CHIPLED_1206";"LED1, LED2, LED3, LED4, LEDAL";"LED";"";"";"";"";
"1";"";"ML6L";"ML6L";"SV1";"HARTING";"";"";"unknown";"unknown";
"1";"";"R-EU_0204/5";"0204/5";"LDR";"RESISTOR, European symbol";"";"";"";"";
"1";"0";"R-EU_M1206";"M1206";"BRIDGE_RESET1";"RESISTOR, European symbol";"";"";"";"";
"8";"0";"R-EU_R1206";"R1206";"BRIDGE_GND, BRIDGE_INTB, BRIDGE_MOSI, BRIDGE_RESET2, BRIDGE_SCK, BRIDGE_VDD, R_SCL, R_SDA";"RESISTOR, European symbol";"";"";"";"";
"2";"100n";"C-EUC0805";"C0805";"C119, C120";"CAPACITOR, European symbol";"";"";"";"";
"6";"100n";"C-EUC1206";"C1206";"C118, C_S1, C_S2, C_S3, C_S4, C_S5";"CAPACITOR, European symbol";"";"";"";"";
"110";"100n";"C-EUC1310";"C1310";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110";"CAPACITOR, European symbol";"";"";"";"";
"1";"10k";"R-EU_M1206";"M1206";"R_RESET";"RESISTOR, European symbol";"";"";"";"";
"1";"10u";"L-EUL2012C";"L2012C";"L111";"INDUCTOR, European symbol";"";"";"";"";
"5";"120";"R-EU_M1206";"M1206";"R_LED1, R_LED2, R_LED3, R_LED4, R_LEDAL";"RESISTOR, European symbol";"";"";"";"";
"1";"130";"R-EU_R1206";"R1206";"R_MOSFET";"RESISTOR, European symbol";"";"";"";"";
"2";"18p";"C-EUC0805";"C0805";"C116, C117";"CAPACITOR, European symbol";"";"";"";"";
"5";"1k";"R-EU_M1206";"M1206";"R_S1, R_S2, R_S3, R_S4, R_S5";"RESISTOR, European symbol";"";"";"";"";
"1";"300";"R-EU_R1206";"R1206";"R_MATRIXIN";"RESISTOR, European symbol";"";"";"";"";
"1";"32,768MHz";"CRYSTALHC49S";"HC49/S";"Q_DS";"CRYSTAL";"";"";"1667008";"unknown";
"4";"4,7k";"R-EU_R1206";"R1206";"PULLUP_INTA, PULLUP_INTB, PULLUP_SCL, PULLUP_SDA";"RESISTOR, European symbol";"";"";"";"";
"1";"49,9k";"R-EU_M1206";"M1206";"R_PHOTO";"RESISTOR, European symbol";"";"";"";"";
"1";"AL11P";"AL11P";"AL11P";"SP1";"SPEAKER Source: Buerklin";"";"";"unknown";"unknown";
"1";"DS1337+";"DS1337+";"DIL8";"S+1";"DS1337 I2C serial real-time clock";"";"";"";"";
"1";"MEGA8-P";"MEGA8-P";"DIL28-3";"IC1";"MICROCONTROLLER";"";"";"unknown";"unknown";
"1";"MINI-USB";"MINI-USB";"MINI-USB";"U$1";"Mini USB connector (Kyocera part: 24 5141 005 000 863+)";"";"";"";"";
"1";"SUP75N06-08";"SUP75N06-08";"TO220";"Q3";"N-Channel Enhancement MOSFET 60V; 75A; 0,008Ohm";"";"";"";"";
"110";"WS2812B";"WS2812B";"WS2812B";"L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L20, L21, L22, L23, L24, L25, L26, L27, L28, L29, L30, L31, L32, L33, L34, L35, L36, L37, L38, L39, L40, L41, L42, L43, L44, L45, L46, L47, L48, L49, L50, L51, L52, L53, L54, L55, L56, L57, L58, L59, L60, L61, L62, L63, L64, L65, L66, L67, L68, L69, L70, L71, L72, L73, L74, L75, L76, L77, L78, L79, L80, L81, L82, L83, L84, L85, L86, L87, L88, L89, L90, L91, L92, L93, L94, L95, L96, L97, L98, L99, L100, L101, L102, L103, L104, L105, L106, L107, L108, L109, L110";"";"";"";"";"";
